"id","nazev","stat","pohori","rok_vzniku","rok_vzniku_zdroj","historicke_milniky","historicke_milniky_zdroj","kapacita_luzek","kapacita_luzek_zdroj","provoz","provoz_zdroj","oteviraci_doba","oteviraci_doba_zdroj","web","web_zdroj","telefon","telefon_zdroj","email","email_zdroj","gps_lat","gps_lat_zdroj","gps_lng","gps_lng_zdroj","zajimavost","zajimavost_kategorie","zajimavost_zdroj","jistota","overeno_k"
"HUT-0011","Bouda u Bílého Labe","Česko","Krkonoše","1913","https://www.krkonose.eu/bouda-u-bileho-labe","1913 — boudu založil Václav Hollman","https://www.krkonose.eu/bouda-u-bileho-labe","28","https://www.krkonose.eu/bouda-u-bileho-labe","neuvedeno","neuvedeno","denně 10:30–18:00","https://www.boudabilelabe.cz/kontakt/","https://www.boudabilelabe.cz/","https://www.boudabilelabe.cz/","+420 608 711 400; +420 725 841 666","https://www.boudabilelabe.cz/kontakt/","bile.labe@seznam.cz","https://www.boudabilelabe.cz/kontakt/","50.7409453","https://www.openstreetmap.org/?mlat=50.7409453&mlon=15.6476136#map=18/50.7409453/15.6476136","15.6476136","https://www.openstreetmap.org/?mlat=50.7409453&mlon=15.6476136#map=18/50.7409453/15.6476136","Vznik boudy souvisel se zázemím pro práce na úpravách toku po ničivých povodních.","jiné","https://www.krkonose.eu/bouda-u-bileho-labe","B","2026-07-21"
"HUT-0012","Dvoračky","Česko","Krkonoše","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","restaurace 9:00–24:00","https://www.dvoracky.cz/cs/kontakt","https://www.dvoracky.cz/","https://www.dvoracky.cz/","+420 720 983 033; +420 720 983 034","https://www.dvoracky.cz/cs/kontakt","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","B","2026-07-21"
"HUT-0013","Chata Rezek","Česko","Krkonoše","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://krkonose-rezek.cz/","https://krkonose-rezek.cz/","+420 605 724 084","https://krkonose-rezek.cz/kontakt/","hela.sirova@gmail.com","https://krkonose-rezek.cz/kontakt/","50.7066156","https://www.openstreetmap.org/?mlat=50.7066156&mlon=15.5153647#map=18/50.7066156/15.5153647","15.5153647","https://www.openstreetmap.org/?mlat=50.7066156&mlon=15.5153647#map=18/50.7066156/15.5153647","neuvedeno","neuvedeno","neuvedeno","A","2026-07-21"
"HUT-0014","Rýchorská bouda","Česko","Krkonoše","neuvedeno","neuvedeno","neuvedeno","neuvedeno","45","https://rychorska-bouda.cz/ubytovani/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://rychorska-bouda.cz/","https://rychorska-bouda.cz/","+420 777 045 673","https://rychorska-bouda.cz/","martinasvkrystof@gmail.com","https://rychorska-bouda.cz/","50.6602003","https://www.openstreetmap.org/?mlat=50.6602003&mlon=15.8504311#map=18/50.6602003/15.8504311","15.8504311","https://www.openstreetmap.org/?mlat=50.6602003&mlon=15.8504311#map=18/50.6602003/15.8504311","Součástí péče o okolní louky je pastva skotského náhorního skotu.","jiné","https://rychorska-bouda.cz/","A","2026-07-21"
"HUT-0015","Bouda Jelenka","Česko","Krkonoše","1936","https://www.krkonose.eu/bouda-jelenka","1936 — boudu nechal postavit hrabě Czernin-Morzin","https://www.krkonose.eu/bouda-jelenka","26","https://www.krkonose.eu/bouda-jelenka","celoročně","https://www.krkonose.eu/bouda-jelenka","neuvedeno","neuvedeno","https://www.jelenka.eu/","https://www.jelenka.eu/","+420 499 895 105; +420 602 428 702","https://www.jelenka.eu/index.php/kontakt","neuvedeno","neuvedeno","50.7418350","https://www.openstreetmap.org/?mlat=50.7418350&mlon=15.7779764#map=18/50.7418350/15.7779764","15.7779764","https://www.openstreetmap.org/?mlat=50.7418350&mlon=15.7779764#map=18/50.7418350/15.7779764","Původní název Emma-quelle Baude odkazoval na nedaleký Emmin pramen.","jiné","https://www.krkonose.eu/bouda-jelenka","B","2026-07-21"
"HUT-0016","Pomezní bouda","Česko","Krkonoše","neuvedeno","neuvedeno","před 1771 — stála zde chalupa; před 1841 — fungovala zde hospoda; 1860 — objekt vyhořel; 1870 — obnovena Blaschkebaude; 1989 — vrácen název Pomezní bouda","https://www.pomezni-bouda.cz/","50","https://www.pomezni-bouda.cz/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://www.pomezni-bouda.cz/","https://www.pomezni-bouda.cz/","+420 604 268 327","https://www.pomezni-bouda.cz/","pomezbouda@gmail.com","https://www.pomezni-bouda.cz/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","Provozovatel ji označuje za nejdéle nepřetržitě otevřenou boudu v Malé Úpě, od roku 1870.","stáří","https://www.pomezni-bouda.cz/","A","2026-07-21"
"HUT-0017","Portášky","Česko","Krkonoše","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","sezónně / podle provozu lanovky Velká Úpa–Portášky","https://www.portasky.cz/","při provozu lanovky 11:00–16:30","https://www.portasky.cz/","https://www.portasky.cz/","https://www.portasky.cz/","+420 777 334 450; +420 608 901 390","https://www.portasky.cz/","portasky@portasky.cz","https://www.portasky.cz/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","A","2026-07-21"
"HUT-0018","Růžohorky","Česko","Krkonoše","1903","https://www.ruzohorky.cz/","1903 — postavena jako hostinský podnik Leischnerovy boudy; 1945 — používá se název Růžohorky","https://www.ruzohorky.cz/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://www.ruzohorky.cz/","https://www.ruzohorky.cz/","+420 606 209 727","https://www.ruzohorky.cz/","ruzohorky@seznam.cz","https://www.ruzohorky.cz/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","A","2026-07-21"
"HUT-0019","Lesní bouda","Česko","Krkonoše","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","denně 10:30–17:00","https://pohadkove.krkonose.eu/lesni-bouda","https://lesnibouda.cz/","https://lesnibouda.cz/","+420 736 678 302","https://lesnibouda.cz/","info@lesnibouda.cz","https://lesnibouda.cz/","50.6769844","https://www.openstreetmap.org/?mlat=50.6769844&mlon=15.7092297#map=18/50.6769844/15.7092297","15.7092297","https://www.openstreetmap.org/?mlat=50.6769844&mlon=15.7092297#map=18/50.6769844/15.7092297","Bouda provozuje vlastní ekologickou farmu a nabízí výrobky z místní produkce.","gastro","https://lesnibouda.cz/","B","2026-07-21"
"HUT-0020","Lyžařská bouda","Česko","Krkonoše","1717","https://www.lyzarskabouda.com/","1717 — počátek historie jako letní hospodářská bouda; 1930 — přestavěna pro celoroční provoz a pojmenována Skiemeisterbaude","https://www.lyzarskabouda.com/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","denně 10:30–17:00","https://www.lyzarskabouda.com/kontakt/","https://www.lyzarskabouda.com/","https://www.lyzarskabouda.com/","+420 774 304 091","https://www.lyzarskabouda.com/kontakt/","rezervace@lyzarskabouda.com","https://www.lyzarskabouda.com/kontakt/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","A","2026-07-21"
"HUT-0021","Pražská bouda","Česko","Krkonoše","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://www.prazskaboudapec.cz/","https://www.prazskaboudapec.cz/","+420 728 724 754; +420 770 386 469","https://www.prazskaboudapec.cz/kontakt","info@prazskaboudapec.cz","https://www.prazskaboudapec.cz/kontakt","50.6707236","https://www.openstreetmap.org/?mlat=50.6707236&mlon=15.7302017#map=18/50.6707236/15.7302017","15.7302017","https://www.openstreetmap.org/?mlat=50.6707236&mlon=15.7302017#map=18/50.6707236/15.7302017","neuvedeno","neuvedeno","neuvedeno","A","2026-07-21"
"HUT-0022","Kolínská bouda","Česko","Krkonoše","1927","https://www.kolinskabouda.cz/cs/","1927 — postavena Kolínská bouda","https://www.kolinskabouda.cz/cs/","104","https://www.kolinskabouda.cz/cs/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://www.kolinskabouda.cz/cs/","https://www.kolinskabouda.cz/cs/","+420 774 500 747; +420 774 222 962","https://www.kolinskabouda.cz/cs/kontakt/","info@kolinskabouda.cz","https://www.kolinskabouda.cz/cs/kontakt/","50.6701739","https://www.openstreetmap.org/?mlat=50.6701739&mlon=15.7375750#map=18/50.6701739/15.7375750","15.7375750","https://www.openstreetmap.org/?mlat=50.6701739&mlon=15.7375750#map=18/50.6701739/15.7375750","Provozovatel ji označuje za první českou boudu.","stáří","https://www.kolinskabouda.cz/cs/","A","2026-07-21"
"HUT-0023","Černá bouda","Česko","Krkonoše","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://hotel-cerna-bouda.cz/","https://hotel-cerna-bouda.cz/","+420 605 500 833","https://hotel-cerna-bouda.cz/","recepce-cernabouda@seznam.cz","https://hotel-cerna-bouda.cz/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","B","2026-07-21"
"HUT-0024","Hrnčířské boudy","Česko","Krkonoše","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","C","2026-07-21"
"HUT-0025","Friesovy boudy","Česko","Krkonoše","neuvedeno","neuvedeno","1676 — první písemná zmínka o enklávě; kolem 1910 — objekt č. 95 obnoven po požáru; 1935 — získána hostinská koncese; 1987 — starý objekt odstraněn a postaven nový","https://www.friesovy-boudy.cz/historie","66","https://friesovyboudy.cz/caste-dotazy","sezónně; zavřeno v dubnu a listopadu","https://friesovyboudy.cz/kontakt","neuvedeno","neuvedeno","https://friesovyboudy.cz/","https://friesovyboudy.cz/","+420 724 230 884","https://friesovyboudy.cz/kontakt","info@friesovyboudy.cz","https://friesovyboudy.cz/kontakt","50.7000169","https://www.openstreetmap.org/?mlat=50.7000169&mlon=15.6514228#map=18/50.7000169/15.6514228","15.6514228","https://www.openstreetmap.org/?mlat=50.7000169&mlon=15.6514228#map=18/50.7000169/15.6514228","Historie provozovatele spojuje místo s Hansem Lahrem, pozdějším světovým rekordmanem ve skoku na lyžích.","jiné","https://www.friesovy-boudy.cz/historie","A","2026-07-21"
"HUT-0026","Klínovka","Česko","Krkonoše","1676","https://www.klinovka.com/o-nas","1676 — počátek historie Klínové boudy jako hornické chatrče","https://www.klinovka.com/o-nas","50","https://www.klinovka.com/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://www.klinovka.com/","https://www.klinovka.com/","+420 731 848 487","https://www.klinovka.com/","recepce@klinovka.com","https://www.klinovka.com/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","Provozovatel objekt prezentuje jako nejvýše položenou farmu v ČR.","výška","https://www.klinovka.com/","A","2026-07-21"
"HUT-0027","Chalupa Na Rozcestí","Česko","Krkonoše","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","Ne–Čt 9:30–18:00; Pá–So 9:30–19:00","https://chalupanarozcesti.cz/","https://chalupanarozcesti.cz/","https://chalupanarozcesti.cz/","+420 499 896 295","https://chalupanarozcesti.cz/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","Provozovatel nabízí vlastní borůvkový a brusinkový likér s certifikací Krkonoše – originální produkt.","gastro","https://chalupanarozcesti.cz/","A","2026-07-21"
"HUT-0028","Richtrovy boudy","Česko","Krkonoše","neuvedeno","neuvedeno","1785 — objekt je doložen v josefském katastru","https://www.visitczechia.com/en-us/things-to-do/places/gastronomic-tourism/experience-gastronomy/g-pec-pod-snezkou-richtrovy-boudy","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","http://www.richtrovy-boudy.cz","https://projekty.npi.cz/component/ncontacts/workplaces/ucebni-stredisko-richtrovy-boudy","+420 778 521 415","https://projekty.npi.cz/component/ncontacts/workplaces/ucebni-stredisko-richtrovy-boudy","info@richtrovyboudy.cz","https://projekty.npi.cz/component/ncontacts/workplaces/ucebni-stredisko-richtrovy-boudy","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","B","2026-07-21"
"HUT-0029","Chata Pod Studničnou","Česko","Krkonoše","1830","https://www.chatapodstudnicnou.cz/cs/o-nas","cca 1830 — Johann Mitlöhner postavil nový dům; 1903 — zahájena výroba ohýbaných jasanových lyží; 1929 — přestavba na Pension Ski Mitlöhner; 1991 — objekt převzal KČT","https://www.chatapodstudnicnou.cz/cs/o-nas","47","https://kct.cz/chaty/chata-pod-studnicnou/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://www.chatapodstudnicnou.cz/cs","https://www.chatapodstudnicnou.cz/cs","+420 728 465 454","https://www.chatapodstudnicnou.cz/cs/kontakt","podstudnicnou@centrum.cz","https://kct.cz/chaty/chata-pod-studnicnou/","50.7089800","https://www.openstreetmap.org/?mlat=50.7089800&mlon=15.7260414#map=18/50.7089800/15.7260414","15.7260414","https://www.openstreetmap.org/?mlat=50.7089800&mlon=15.7260414#map=18/50.7089800/15.7260414","Rodina Mitlöhnerů zde vyráběla lyže a před druhou světovou válkou vyvinula lyže s ocelovými hranami v části pod vázáním.","jiné","https://kct.cz/chaty/chata-pod-studnicnou/","A","2026-07-21"
"HUT-0030","Lysečinská bouda","Česko","Krkonoše","1926","https://www.krkonose.eu/lysecinska-bouda","1926 — postavena Lysečinská bouda","https://www.krkonose.eu/lysecinska-bouda","53","https://www.krkonose.eu/lysecinska-bouda","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://lysecinskabouda.eu/","https://lysecinskabouda.eu/","+420 606 107 700","https://lysecinskabouda.eu/kontakt/","info@horskarecepce.cz","https://lysecinskabouda.eu/kontakt/","50.7127381","https://www.openstreetmap.org/?mlat=50.7127381&mlon=15.8343953#map=18/50.7127381/15.8343953","15.8343953","https://www.openstreetmap.org/?mlat=50.7127381&mlon=15.8343953#map=18/50.7127381/15.8343953","Specialitou objektu je vlastní pivo Karlův Jelen.","gastro","https://www.krkonose.eu/lysecinska-bouda","B","2026-07-21"
"HUT-0217","Dom Śląski","Polsko","Karkonosze","1922","https://domslaski.pl/historia","1921–1922 — postavena současná budova; 1951 — předána do správy PTTK; 2007 — objekt koupil Karol Warecki","https://domslaski.pl/historia","58","https://domslaski.pl/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://domslaski.pl/","https://domslaski.pl/","+48 75 612 67 00; +48 75 753 52 90","https://domslaski.pl/","info@domslaski.pl","https://domslaski.pl/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","A","2026-07-21"
"HUT-0218","Samotnia","Polsko","Karkonosze","1670","https://kpn.gov.pl/zabytki-w-karkonoszach","1670 — doložena původní buda správce Malého Stawu; 15. 5. 2024 — objekt převzali noví provozovatelé","https://schroniskosamotnia.com/historia/","49","https://schroniskosamotnia.com/oferta/","neuvedeno","neuvedeno","Po–Čt 7:30–21:00; Pá–Ne 7:00–21:00","https://schroniskosamotnia.com/oferta/","https://schroniskosamotnia.com/","https://schroniskosamotnia.com/","+48 455 501 958","https://schroniskosamotnia.com/kontakt/","rezerwacje@schroniskosamotnia.com","https://schroniskosamotnia.com/kontakt/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","Provozovatel ji označuje za jedno z nejstarších horských útočišť v Polsku.","stáří","https://schroniskosamotnia.com/","A","2026-07-21"
"HUT-0219","Strzecha Akademicka","Polsko","Karkonosze","1642","https://strzechaakademicka.pl/historia","1642 — doložen hospodář Tanl; 1896 — postaven nový velký objekt; 1906 — požár a znovuotevření po obnově; 1912 — rozšíření; 1957 — ve vlastnictví PTTK","https://strzechaakademicka.pl/historia","75","https://www.strzechaakademicka.pl/cennik","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://strzechaakademicka.pl/","https://strzechaakademicka.pl/","+48 695 590 826","https://www.strzechaakademicka.pl/cennik","info@strzechaakademicka.pl","https://www.strzechaakademicka.pl/cennik","neuvedeno","neuvedeno","neuvedeno","neuvedeno","Provozovatel ji spolu s chatou Pod Łabskim Szczytem označuje za nejstarší chatu v Karkonoszích.","stáří","https://strzechaakademicka.pl/historia","A","2026-07-21"
"HUT-0220","Schronisko Nad Łomniczką","Polsko","Karkonosze","neuvedeno","neuvedeno","před 2019 — KPN objekt uváděl jako nečinné schronisko","https://kpnmab.pl/zamkniety-szlak-przez-kociol-lomniczki-1886/n","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","C","2026-07-21"
"HUT-0221","Odrodzenie","Polsko","Karkonosze","1928","https://kpn.gov.pl/zabytki-w-karkonoszach","1928 — postaveno jako mládežnické ubytovací zařízení Rübezahl; 2009 — provoz převzala rodina Kaczmarkových","https://www.schroniskoodrodzenie.pl/o-nas/","neuvedeno","neuvedeno","celoročně / 24 hodin denně","https://www.schroniskoodrodzenie.pl/kontakt/","bufet denně 8:00–20:00","https://www.schroniskoodrodzenie.pl/kontakt/","https://www.schroniskoodrodzenie.pl/","https://www.schroniskoodrodzenie.pl/","+48 780 152 207","https://www.schroniskoodrodzenie.pl/kontakt/","piotrkaczmarek2@op.pl","https://www.schroniskoodrodzenie.pl/kontakt/","neuvedeno","neuvedeno","neuvedeno","neuvedeno","Provozovatel uvádí otevření 365 dní v roce a 24 hodin denně.","jiné","https://www.schroniskoodrodzenie.pl/o-nas/","A","2026-07-21"
"HUT-0222","Pod Łabskim Szczytem","Polsko","Karkonosze","neuvedeno","neuvedeno","před 1670 — KPN dokládá kontinuitu lokality původní pastevecké boudy","https://kpn.gov.pl/zabytki-w-karkonoszach","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","neuvedeno","https://www.facebook.com/pod.labskim.szczytem","https://kpn.gov.pl/schroniska","+48 789 808 256","https://kpn.gov.pl/schroniska","pod.labskim.szczytem@o2.pl","https://kpn.gov.pl/schroniska","neuvedeno","neuvedeno","neuvedeno","neuvedeno","KPN uvádí kontinuitu umístění původní pastevecké boudy před rokem 1670.","stáří","https://kpn.gov.pl/zabytki-w-karkonoszach","A","2026-07-21"
