"hut_id","zanik_id","objekt","pocet_faktu","pocet_zdroju","kategorie","hlavni_zdroje","upozorneni","overeno_k"
"neuvedeno","ZANIK-006","Havlova bouda","1","1","zánik","https://www.seznamzpravy.cz/clanek/magazin-cestovani-krkonose-vyrovka-282401","bez zvláštního upozornění","2026-07-22"
"HUT-0082","neuvedeno","Horská chata Skalka","2","1","historie; požár","https://www.seznamzpravy.cz/clanek/magazin-cestovani-horske-chaty-beskydy-268613","bez zvláštního upozornění","2026-07-22"
"HUT-0032","neuvedeno","Horská chata Smědava","2","1","historie; zánik stavby","https://www.seznamzpravy.cz/clanek/v-jizerskych-horach-zacala-demolice-horske-chaty-na-smedave-176576","bez zvláštního upozornění","2026-07-22"
"neuvedeno","neuvedeno","Horský hotel Radegast","2","1","historie; kapacita","https://www.seznamzpravy.cz/clanek/magazin-cestovani-horske-chaty-beskydy-268613","bez zvláštního upozornění","2026-07-22"
"HUT-0024","neuvedeno","Hrnčířské boudy","1","1","poloha","https://www.kudyznudy.cz/aktivity/hrncirske-boudy-v-krkonosich","bez zvláštního upozornění","2026-07-22"
"neuvedeno","neuvedeno","Hříběcí bouda","2","1","historie; osobnosti","https://www.kudyznudy.cz/aktuality/pet-vyletu-na-hrebeny-krkonos-za-pribehy-kultovnic","bez zvláštního upozornění","2026-07-22"
"HUT-0101","neuvedeno","Klostermannova chata","1","1","zdrojový tip","https://www.seznamzpravy.cz/clanek/magazin-cestovani-sumava-horske-chaty-265243","bez zvláštního upozornění","2026-07-22"
"neuvedeno","neuvedeno","Krkonošské boudy","3","3","historie obecně","https://www.krkonose.eu/krkonosske-boudy; https://www.krkonose.eu/historie-regionu; https://www.kudyznudy.cz/aktuality/pet-vyletu-na-hrebeny-krkonos-za-pribehy-kultovnic","bez zvláštního upozornění","2026-07-22"
"HUT-0002","neuvedeno","Labská bouda","12","2","architektura; gastro; gps; historie; kontakt; ochrana_prirody; osobnosti; vlastnictví; výška; věda","https://www.seznamzpravy.cz/clanek/magazin-cestovani-labska-bouda-historie-281928; https://www.krkonose.eu/labska-bouda-0","bez zvláštního upozornění","2026-07-22"
"HUT-0001","neuvedeno","Luční bouda","12","2","architektura; gastro; historie; osobnosti; provoz; superlativ / gastro; válka; výška","https://www.seznamzpravy.cz/clanek/magazin-historie-historie-lucni-boudy-278325; https://www.kudyznudy.cz/aktuality/pet-vyletu-na-hrebeny-krkonos-za-pribehy-kultovnic","obsahuje údaj jistoty C / rozpor; obsahuje dynamické údaje k novému ověření","2026-07-22"
"HUT-0030","neuvedeno","Lysečinská bouda","8","2","gastro; gps; historie; kapacita; kontakt; tradice; výška","https://www.krkonose.eu/lysecinska-bouda; https://www.kudyznudy.cz/aktivity/lysicenska-bouda-pohoda-v-srdci-krkonos","obsahuje údaj jistoty C / rozpor","2026-07-22"
"HUT-0005","neuvedeno","Martinova bouda","9","2","film; gps; historie; kapacita; kontakt; osobnosti; stavba; výška","https://www.krkonose.eu/martinova-bouda; https://www.seznamzpravy.cz/clanek/magazin-historie-martinova-bouda-krkonose-historie-majitel-285930","obsahuje údaj jistoty C / rozpor","2026-07-22"
"HUT-0047","neuvedeno","Masarykova chata na Šerlichu","1","1","zdrojový tip","https://www.seznamzpravy.cz/clanek/magazin-cestovani-horske-chaty-orlicke-hory-268014","bez zvláštního upozornění","2026-07-22"
"neuvedeno","neuvedeno","Maxova bouda / Maxhütte","4","1","původ stavby; rok_vzniku; rozměry; zánik","https://www.seznamzpravy.cz/clanek/magazin-cestovani-rychorska-bouda-284486","obsahuje údaj jistoty C / rozpor","2026-07-22"
"neuvedeno","neuvedeno","Penzion Andula","1","1","gastro","https://www.krkonose.eu/penzion-andula-0","obsahuje dynamické údaje k novému ověření","2026-07-22"
"HUT-0010","neuvedeno","Petrova bouda","2","1","historie; požár","https://www.kudyznudy.cz/aktivity/petrova-bouda-ve-spindlerove-mlyne","bez zvláštního upozornění","2026-07-22"
"neuvedeno","neuvedeno","Pivovar Trautenberk","4","1","historické názvy; historie; kapacita; výška","https://www.krkonose.eu/pivovar-trautenberk-0","obsahuje dynamické údaje k novému ověření","2026-07-22"
"HUT-0016","neuvedeno","Pomezní bouda / historický hotel na Pomezních Boudách","1","1","architektura","https://www.seznamzpravy.cz/clanek/magazin-architektura-stolety-hotel-na-pomeznich-boudach-prestaveli-na-apartmany-kino-a-kavarnu-295801","bez zvláštního upozornění","2026-07-22"
"neuvedeno","neuvedeno","Pustevny – Libušín","1","1","požár","https://www.seznamzpravy.cz/clanek/magazin-cestovani-horske-chaty-beskydy-268613","bez zvláštního upozornění","2026-07-22"
"neuvedeno","neuvedeno","Pustevny – Maměnka a Libušín","1","1","historie","https://www.seznamzpravy.cz/clanek/magazin-cestovani-horske-chaty-beskydy-268613","bez zvláštního upozornění","2026-07-22"
"neuvedeno","neuvedeno","Rezervační systém KČT NOCLEH","3","1","funkce webu","https://casopisturista.cz/vydejte-se-na-cesty-a-nocleh-nechte-na-nas-co-nabizi-rezervacni-system-kct/","obsahuje dynamické údaje k novému ověření","2026-07-22"
"HUT-0028","neuvedeno","Richtrovy boudy","1","1","stav","https://www.kudyznudy.cz/aktivity/rychtrovy-boudy-v-peci-pod-snezkou","obsahuje dynamické údaje k novému ověření","2026-07-22"
"HUT-0014","neuvedeno","Rýchorská bouda","7","2","gps; kapacita; kontakt; provoz; rekonstrukce; vlastnictví; výška","https://www.krkonose.eu/rychorska-bouda; https://www.seznamzpravy.cz/clanek/magazin-cestovani-rychorska-bouda-284486","bez zvláštního upozornění","2026-07-22"
"HUT-0218","neuvedeno","Samotnia","6","1","historie; kontakt; poloha; výška","https://www.krkonose.eu/en/node/2542","bez zvláštního upozornění","2026-07-22"
"HUT-0004","neuvedeno","Vosecká bouda","12","3","energie; gps; historické názvy; historie; kapacita; kontakt; otevírací doba; výška","https://www.seznamzpravy.cz/clanek/magazin-cestovani-vosecka-bouda-historie-283327; https://www.krkonose.eu/vosecka-bouda; https://casopisturista.cz/vosecka-bouda-nekonecna-energie-v-krkonosich-vosecka-bouda-meni-dieselagregat-za-fotovoltaiku-s-bateriovym-ulozistem/","obsahuje údaj jistoty C / rozpor; obsahuje dynamické údaje k novému ověření","2026-07-22"
"neuvedeno","neuvedeno","Vrbatova bouda","7","1","architektura; doprava; historie; trasa","https://www.seznamzpravy.cz/clanek/magazin-cestovani-vrbatova-bouda-282731","obsahuje dynamické údaje k novému ověření","2026-07-22"
"HUT-0007","neuvedeno","Špindlerova bouda","9","2","doprava; gps; historie; kapacita; kontakt; požár; výška","https://www.krkonose.eu/hotel-spindlerova-bouda-0; https://www.seznamzpravy.cz/clanek/magazin-cestovani-spindlerova-bouda-historie-283478","obsahuje dynamické údaje k novému ověření","2026-07-22"
"HUT-0059","neuvedeno","Švýcárna","3","1","historie; kapacita; výška","https://www.seznamzpravy.cz/clanek/magazin-cestovani-chaty-jeseniky-264151","bez zvláštního upozornění","2026-07-22"
