"fact_id","hut_id","zanik_id","objekt","typ_objektu","kategorie","navrh_pole_katalogu","hodnota","zdroj_url","zdroj_nazev","zdroj_web","datum_zdroje","povaha_zdroje","casova_povaha","jistota","poznamka","overeno_k"
"FACT-0013","HUT-0001","neuvedeno","Luční bouda","aktivní chata","gastro","zajimavost","Současný areál zahrnuje pivovar Paroháč; jde o údaj z článku a může se provozně měnit.","https://www.seznamzpravy.cz/clanek/magazin-historie-historie-lucni-boudy-278325","Luční bouda měla být mega stavbou s tunelem pro řeku","Seznam Zprávy","2025-06-07","redakční článek","dynamické – ověřit před publikací","B","","2026-07-22"
"FACT-0014","HUT-0001","neuvedeno","Luční bouda","aktivní chata","výška","nadmorska_vyska","1410 m n. m.","https://www.kudyznudy.cz/aktuality/pet-vyletu-na-hrebeny-krkonos-za-pribehy-kultovnic","Vydejte se do Krkonoš za příběhy kultovních horských bud","Kudy z nudy","neuvedeno","oficiální turistický portál / redakční text","stabilní","B","","2026-07-22"
"FACT-0015","HUT-0001","neuvedeno","Luční bouda","aktivní chata","superlativ / gastro","zajimavost","Kudy z nudy ji označuje za nejvýše položenou restauraci a pivovar ve střední Evropě; jde o tvrzení tohoto zdroje, nikoli nezávisle ověřený rekord.","https://www.kudyznudy.cz/aktuality/pet-vyletu-na-hrebeny-krkonos-za-pribehy-kultovnic","Vydejte se do Krkonoš za příběhy kultovních horských bud","Kudy z nudy","neuvedeno","oficiální turistický portál / redakční text","tvrzení zdroje","C","Superlativ před publikací ověřit nezávislým zdrojem a přesnou definicí.","2026-07-22"
"FACT-0016","HUT-0006","neuvedeno","Brádlerovy boudy","aktivní chata","historie","historické_milniky","Boudy leží na přibližně třináctihektarové luční enklávě mezi Dvorským a Medvědím potokem.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bradlerovy-boudy-historie-fotky-280785","Brádlerovy boudy: Jako první tu visel hákový kříž. Po válce nesly jméno Julia Fučíka","Seznam Zprávy","2025-07-13","redakční článek","stabilní","B","","2026-07-22"
"FACT-0017","HUT-0006","neuvedeno","Brádlerovy boudy","aktivní chata","historie","historické_milniky","Nejstarší doložená zmínka uváděná článkem pochází z roku 1676.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bradlerovy-boudy-historie-fotky-280785","Brádlerovy boudy: Jako první tu visel hákový kříž. Po válce nesly jméno Julia Fučíka","Seznam Zprávy","2025-07-13","redakční článek","stabilní","B","","2026-07-22"
"FACT-0018","HUT-0006","neuvedeno","Brádlerovy boudy","aktivní chata","historie","historické_milniky","Článek zmiňuje také možný rok 1637 podle regionálního průvodce, ale tento údaj označuje jako nejistý.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bradlerovy-boudy-historie-fotky-280785","Brádlerovy boudy: Jako první tu visel hákový kříž. Po válce nesly jméno Julia Fučíka","Seznam Zprávy","2025-07-13","redakční článek","sporné / rozpor","C","","2026-07-22"
"FACT-0019","HUT-0006","neuvedeno","Brádlerovy boudy","aktivní chata","historie","historické_milniky","První objekty sloužily pastevcům a dřevorubcům; později se proměnily v turistické ubytování a restaurace.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bradlerovy-boudy-historie-fotky-280785","Brádlerovy boudy: Jako první tu visel hákový kříž. Po válce nesly jméno Julia Fučíka","Seznam Zprávy","2025-07-13","redakční článek","stabilní","B","","2026-07-22"
"FACT-0020","HUT-0006","neuvedeno","Brádlerovy boudy","aktivní chata","historie","historické_milniky","Po druhé světové válce areál nesl jméno Julia Fučíka.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bradlerovy-boudy-historie-fotky-280785","Brádlerovy boudy: Jako první tu visel hákový kříž. Po válce nesly jméno Julia Fučíka","Seznam Zprávy","2025-07-13","redakční článek","stabilní","B","","2026-07-22"
"FACT-0021","HUT-0002","neuvedeno","Labská bouda","aktivní chata","výška","nadmorska_vyska","1340 m n. m.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-labska-bouda-historie-281928","Z popela vyrostl betonový kolos. Labská bouda překonala snahy o zbourání a žije dál","Seznam Zprávy","2025-07-20","redakční článek","stabilní","B","","2026-07-22"
"FACT-0022","HUT-0002","neuvedeno","Labská bouda","aktivní chata","architektura","zajimavost","Současná Labská bouda je devítipodlažní železobetonová stavba; recepce a hlavní vstup jsou v horní části a výtahy jedou do nižších pater.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-labska-bouda-historie-281928","Z popela vyrostl betonový kolos. Labská bouda překonala snahy o zbourání a žije dál","Seznam Zprávy","2025-07-20","redakční článek","stabilní","B","","2026-07-22"
"FACT-0023","HUT-0002","neuvedeno","Labská bouda","aktivní chata","historie","historické_milniky","První písemnou zmínku článek klade přibližně k roku 1830 a spojuje ji s jednoduchým přístřeškem ženy přezdívané die Blasse.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-labska-bouda-historie-281928","Z popela vyrostl betonový kolos. Labská bouda překonala snahy o zbourání a žije dál","Seznam Zprávy","2025-07-20","redakční článek","stabilní","B","","2026-07-22"
"FACT-0024","HUT-0002","neuvedeno","Labská bouda","aktivní chata","gastro","historicka_nabidka","První občerstvení zahrnovalo podle článku pivo, destiláty, mléko, víno a chléb.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-labska-bouda-historie-281928","Z popela vyrostl betonový kolos. Labská bouda překonala snahy o zbourání a žije dál","Seznam Zprávy","2025-07-20","redakční článek","stabilní","B","","2026-07-22"
"FACT-0025","HUT-0002","neuvedeno","Labská bouda","aktivní chata","historie","rok_zaniku_predchudce","Předchozí Labská bouda vyhořela roku 1965.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-labska-bouda-historie-281928","Z popela vyrostl betonový kolos. Labská bouda překonala snahy o zbourání a žije dál","Seznam Zprávy","2025-07-20","redakční článek","stabilní","B","","2026-07-22"
"FACT-0026","HUT-0002","neuvedeno","Labská bouda","aktivní chata","historie","rok_otevreni_soucasne_stavby","Současná stavba byla otevřena roku 1975.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-labska-bouda-historie-281928","Z popela vyrostl betonový kolos. Labská bouda překonala snahy o zbourání a žije dál","Seznam Zprávy","2025-07-20","redakční článek","stabilní","B","","2026-07-22"
"FACT-0027","HUT-0002","neuvedeno","Labská bouda","aktivní chata","ochrana_prirody","historické_milniky","Oficiální destinační web uvádí, že roku 1904 zde vznikla první přírodní rezervace v Krkonoších.","https://www.krkonose.eu/labska-bouda-0","Labská bouda","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0028","HUT-0002","neuvedeno","Labská bouda","aktivní chata","osobnosti","historické_milniky","Bohumil Hanč byl po závodu v roce 1913 dopraven na Labskou boudu, kde zemřel.","https://www.krkonose.eu/labska-bouda-0","Labská bouda","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0029","HUT-0002","neuvedeno","Labská bouda","aktivní chata","kontakt","telefon","+420 720 952 909","https://www.krkonose.eu/labska-bouda-0","Labská bouda","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0030","HUT-0002","neuvedeno","Labská bouda","aktivní chata","gps","gps","50.7700567, 15.5453881","https://www.krkonose.eu/labska-bouda-0","Labská bouda","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0031","HUT-0002","neuvedeno","Labská bouda","aktivní chata","věda","zajimavost","Destinační profil uvádí trvalou meteorologickou stanici a solární a ozónovou observatoř ČHMÚ.","https://www.krkonose.eu/labska-bouda-0","Labská bouda","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0032","HUT-0002","neuvedeno","Labská bouda","aktivní chata","vlastnictví","historické_milniky","Článek uvádí, že v druhé polovině roku 2012 se vlastníkem stala společnost Salvario Holdings.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-labska-bouda-historie-281928","Z popela vyrostl betonový kolos. Labská bouda překonala snahy o zbourání a žije dál","Seznam Zprávy","2025-07-20","redakční článek","stabilní historický údaj, aktuální vlastnictví ověřit","B","","2026-07-22"
"FACT-0033","HUT-0003","neuvedeno","Chata Výrovka","aktivní chata","historie","historicky_kontext","Počátky místa sahají podle článku do 18. století; jednoduchý přístřešek býval nadsazeně nazýván Hotel Výrovka.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-krkonose-vyrovka-282401","Slavná krkonošská Výrovka mění provozovatele. Kdysi tu chytali pašeráky","Seznam Zprávy","2025-07-27","redakční článek","stabilní","B","","2026-07-22"
"FACT-0034","HUT-0003","neuvedeno","Chata Výrovka","aktivní chata","historie","vyuziti_historicke","V oblasti působila finanční stráž a byli zde stíháni pašeráci.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-krkonose-vyrovka-282401","Slavná krkonošská Výrovka mění provozovatele. Kdysi tu chytali pašeráky","Seznam Zprávy","2025-07-27","redakční článek","stabilní","B","","2026-07-22"
"FACT-0035","HUT-0003","neuvedeno","Chata Výrovka","aktivní chata","historie","vyuziti_historicke","Objekt nebo jeho předchůdci sloužili také vojenskému lyžařskému výcviku a policejní stanici.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-krkonose-vyrovka-282401","Slavná krkonošská Výrovka mění provozovatele. Kdysi tu chytali pašeráky","Seznam Zprávy","2025-07-27","redakční článek","stabilní","B","","2026-07-22"
"FACT-0036","HUT-0003","neuvedeno","Chata Výrovka","aktivní chata","historické názvy","nazvy_historicke","Článek spojuje historické názvy místa s jedlemi, supy a výry; jednotlivé etymologie podává jako různé výklady.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-krkonose-vyrovka-282401","Slavná krkonošská Výrovka mění provozovatele. Kdysi tu chytali pašeráky","Seznam Zprávy","2025-07-27","redakční článek","stabilní","B","","2026-07-22"
"FACT-0037","HUT-0003","neuvedeno","Chata Výrovka","aktivní chata","historie","historické_milniky","Předchůdci současné chaty opakovaně vyhořeli, včetně dvou požárů ve 40. letech 20. století.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-krkonose-vyrovka-282401","Slavná krkonošská Výrovka mění provozovatele. Kdysi tu chytali pašeráky","Seznam Zprávy","2025-07-27","redakční článek","stabilní","B","","2026-07-22"
"FACT-0038","HUT-0003","neuvedeno","Chata Výrovka","aktivní chata","architektura","historické_milniky","Současná Výrovka vznikla na konci 80. let; článek uvádí dokončení kolem roku 1990, polského dodavatele Budimex a architekta Vladimíra Vokatého.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-krkonose-vyrovka-282401","Slavná krkonošská Výrovka mění provozovatele. Kdysi tu chytali pašeráky","Seznam Zprávy","2025-07-27","redakční článek","stabilní","B","","2026-07-22"
"FACT-0039","HUT-0003","neuvedeno","Chata Výrovka","aktivní chata","kapacita","kapacita_luzek","50 lůžek.","https://www.krkonose.eu/chata-vyrovka","Chata Výrovka","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0040","HUT-0003","neuvedeno","Chata Výrovka","aktivní chata","gps","gps","50.7153950, 15.6806306","https://www.krkonose.eu/chata-vyrovka","Chata Výrovka","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0041","HUT-0003","neuvedeno","Chata Výrovka","aktivní chata","kontakt","telefon","+420 725 107 808","https://www.krkonose.eu/chata-vyrovka","Chata Výrovka","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0042","neuvedeno","ZANIK-006","Havlova bouda","zaniklá bouda","zánik","rok_zaniku / pricina_zaniku","Seznam Zprávy uvádějí, že Havlova bouda po druhé světové válce vyhořela.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-krkonose-vyrovka-282401","Slavná krkonošská Výrovka mění provozovatele. Kdysi tu chytali pašeráky","Seznam Zprávy","2025-07-27","redakční článek","stabilní","B","Vhodné jako další zdroj k existujícímu záznamu ZANIK-006; přesný rok z tohoto článku nevyplývá.","2026-07-22"
"FACT-0043","neuvedeno","neuvedeno","Vrbatova bouda","aktivní chata","historie","historické_milniky","V době tragického závodu Hanče a Vrbaty roku 1913 na návrší ještě dnešní bouda nestála.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-vrbatova-bouda-282731","Vrbatova bouda: příběh stavby na Zlatém návrší","Seznam Zprávy","2025-08-03","redakční článek","stabilní","B","","2026-07-22"
"FACT-0044","neuvedeno","neuvedeno","Vrbatova bouda","aktivní chata","historie","historické_milniky","V roce 1936 byl položen základní kámen plánované Švehlovy chaty.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-vrbatova-bouda-282731","Vrbatova bouda: příběh stavby na Zlatém návrší","Seznam Zprávy","2025-08-03","redakční článek","stabilní","B","","2026-07-22"
"FACT-0045","neuvedeno","neuvedeno","Vrbatova bouda","aktivní chata","historie","rok_otevreni","Současná Vrbatova bouda byla podle souhrnného článku otevřena roku 1964.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-vrbatova-bouda-282731","Vrbatova bouda: příběh stavby na Zlatém návrší","Seznam Zprávy","2025-08-03","redakční článek","stabilní","B","","2026-07-22"
"FACT-0046","neuvedeno","neuvedeno","Vrbatova bouda","aktivní chata","architektura","historické_milniky","Od roku 2007 probíhala rekonstrukce, při níž měl být zachován základní účel a forma stavby.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-vrbatova-bouda-282731","Vrbatova bouda: příběh stavby na Zlatém návrší","Seznam Zprávy","2025-08-03","redakční článek","stabilní","B","","2026-07-22"
"FACT-0047","neuvedeno","neuvedeno","Vrbatova bouda","aktivní chata","doprava","pristup","Sezónní autobus z Horních Míseček je dynamická informace a musí být ověřena pro konkrétní sezonu.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-vrbatova-bouda-282731","Vrbatova bouda: příběh stavby na Zlatém návrší","Seznam Zprávy","2025-08-03","redakční článek","dynamické – ověřit před publikací","B","","2026-07-22"
"FACT-0048","neuvedeno","neuvedeno","Vrbatova bouda","aktivní chata","trasa","trasa","Ze směru od Jilemnické boudy článek uvádí žlutou trasu přibližně 2,8 km / 1,5 hodiny.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-vrbatova-bouda-282731","Vrbatova bouda: příběh stavby na Zlatém návrší","Seznam Zprávy","2025-08-03","redakční článek","stabilní","B","","2026-07-22"
"FACT-0049","neuvedeno","neuvedeno","Vrbatova bouda","aktivní chata","trasa","trasa","Z Rokytnice nad Jizerou přes Dvoračky článek uvádí přibližně 7,3 km / 3,5 hodiny.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-vrbatova-bouda-282731","Vrbatova bouda: příběh stavby na Zlatém návrší","Seznam Zprávy","2025-08-03","redakční článek","stabilní","B","","2026-07-22"
"FACT-0050","HUT-0012","neuvedeno","Dvoračky","aktivní chata","výška","nadmorska_vyska","1140 m n. m.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bouda-dvoracky-stumpovka-283330","Krkonošské Dvoračky: V historii ubytovávaly Beneše, nyní jsou rájem pečených housek","Seznam Zprávy","2025-08-10","redakční článek","stabilní","B","","2026-07-22"
"FACT-0051","HUT-0012","neuvedeno","Dvoračky","aktivní chata","gastro","specialita","Článek spojuje Dvoračky s borůvkovými knedlíky a domácími pečenými houskami.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bouda-dvoracky-stumpovka-283330","Krkonošské Dvoračky: V historii ubytovávaly Beneše, nyní jsou rájem pečených housek","Seznam Zprávy","2025-08-10","redakční článek","stabilní","B","","2026-07-22"
"FACT-0052","HUT-0012","neuvedeno","Dvoračky","aktivní chata","historie","historické_milniky","První písemnou zmínku článek datuje do roku 1688 a popisuje letní boudy pro přibližně 50 krav a 80 koz.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bouda-dvoracky-stumpovka-283330","Krkonošské Dvoračky: V historii ubytovávaly Beneše, nyní jsou rájem pečených housek","Seznam Zprávy","2025-08-10","redakční článek","stabilní","B","","2026-07-22"
"FACT-0053","HUT-0012","neuvedeno","Dvoračky","aktivní chata","historie","vlastnici_historicti","Po válce byl objekt vrácen Elle Půhonné a později znárodněn.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bouda-dvoracky-stumpovka-283330","Krkonošské Dvoračky: V historii ubytovávaly Beneše, nyní jsou rájem pečených housek","Seznam Zprávy","2025-08-10","redakční článek","stabilní","B","","2026-07-22"
"FACT-0054","HUT-0012","neuvedeno","Dvoračky","aktivní chata","historie","provozovatele","Rodina Starých spravuje Dvoračky od počátku 90. let 20. století.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bouda-dvoracky-stumpovka-283330","Krkonošské Dvoračky: V historii ubytovávaly Beneše, nyní jsou rájem pečených housek","Seznam Zprávy","2025-08-10","redakční článek","stabilní","B","","2026-07-22"
"FACT-0055","HUT-0012","neuvedeno","Dvoračky","aktivní chata","zanik predchudce","historické_milniky","Štumpovka na sousedním místě vyhořela roku 1990; na lokalitě později vznikl nový objekt.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-bouda-dvoracky-stumpovka-283330","Krkonošské Dvoračky: V historii ubytovávaly Beneše, nyní jsou rájem pečených housek","Seznam Zprávy","2025-08-10","redakční článek","stabilní","B","","2026-07-22"
"FACT-0056","HUT-0012","neuvedeno","Dvoračky","aktivní chata","stavba","historické_milniky","Stará stavba Dvoraček byla kvůli dřevomorce odstraněna a nahrazena novou; nejde o zánik lokality chaty, ale o výměnu budovy.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-padly-kvuli-drevomorce-ted-slavne-dvoracky-na-vrcholu-krkonos-otevrou-v-novem-293666","Padly kvůli dřevomorce. Teď slavné Dvoračky na vrcholu Krkonoš otevřou v novém","Seznam Zprávy","2025-12-19","redakční článek","dynamické – ověřit před publikací","B","","2026-07-22"
"FACT-0057","HUT-0004","neuvedeno","Vosecká bouda","aktivní chata","výška","nadmorska_vyska","1260 m n. m.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-vosecka-bouda-historie-283327","Vosecká bouda je dodnes bez elektřiny. Žili tu podivíni i skvělí hospodáři","Seznam Zprávy","2025-08-17","redakční článek","stabilní","B","","2026-07-22"
"FACT-0058","HUT-0004","neuvedeno","Vosecká bouda","aktivní chata","historie","rok_vzniku","Založena před rokem 1743 jako seník; kolem roku 1790 sloužila jako přístřešek dřevařů a hospodářské stavení.","https://www.krkonose.eu/vosecka-bouda","Vosecká bouda","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0059","HUT-0004","neuvedeno","Vosecká bouda","aktivní chata","historické názvy","nazvy_historicke","Česká nová; Františkánská.","https://www.krkonose.eu/vosecka-bouda","Vosecká bouda","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0060","HUT-0004","neuvedeno","Vosecká bouda","aktivní chata","historie","historické_milniky","Pro turistické účely slouží od roku 1896, v roce 1900 byla přestavěna a rozšířena; současný ráz získala po druhé světové válce.","https://www.krkonose.eu/vosecka-bouda","Vosecká bouda","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0061","HUT-0004","neuvedeno","Vosecká bouda","aktivní chata","energie","zajimavost","Oficiální profil uvádí, že bouda není připojena k elektrické distribuční síti a elektřinu vyrábí vlastním zdrojem.","https://www.krkonose.eu/vosecka-bouda","Vosecká bouda","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0062","HUT-0004","neuvedeno","Vosecká bouda","aktivní chata","historie","zajimavost","Destinační profil ji označuje za jednu z mála krkonošských bud, které nikdy nevyhořely.","https://www.krkonose.eu/vosecka-bouda","Vosecká bouda","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0063","HUT-0004","neuvedeno","Vosecká bouda","aktivní chata","kapacita","kapacita_luzek","Krkonose.eu uvádí 42 lůžek; Seznam Zprávy uvádějí 43, jde o rozpor zdrojů.","https://www.seznamzpravy.cz/clanek/magazin-cestovani-vosecka-bouda-historie-283327","Vosecká bouda je dodnes bez elektřiny. Žili tu podivíni i skvělí hospodáři","Seznam Zprávy","2025-08-17","redakční článek","sporné / rozpor","C","","2026-07-22"
"FACT-0064","HUT-0004","neuvedeno","Vosecká bouda","aktivní chata","gps","gps","50.7829861, 15.5109558","https://www.krkonose.eu/vosecka-bouda","Vosecká bouda","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0065","HUT-0004","neuvedeno","Vosecká bouda","aktivní chata","kontakt","telefon","+420 481 529 610","https://www.krkonose.eu/vosecka-bouda","Vosecká bouda","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0066","HUT-0004","neuvedeno","Vosecká bouda","aktivní chata","otevírací doba","oteviraci_doba","Krkonose.eu uvádí kuchyni neděle–čtvrtek do 19:00 a pátek–sobota do 20:00; ověřit před publikací.","https://www.krkonose.eu/vosecka-bouda","Vosecká bouda","Krkonose.eu","neuvedeno","oficiální destinační web","dynamické – ověřit před publikací","A","","2026-07-22"
"FACT-0067","HUT-0004","neuvedeno","Vosecká bouda","aktivní chata","energie","technicke_parametry","Navržená fotovoltaika má výkon 12,74 kWp a bateriové úložiště kapacitu 70,4 kWh.","https://casopisturista.cz/vosecka-bouda-nekonecna-energie-v-krkonosich-vosecka-bouda-meni-dieselagregat-za-fotovoltaiku-s-bateriovym-ulozistem/","Vosecká bouda: Nekonečná energie v Krkonoších","Časopis Turista","2026-02-28","časopis KČT / partnerský projekt","tvrzení projektu / budoucí měření","B","","2026-07-22"
"FACT-0068","HUT-0004","neuvedeno","Vosecká bouda","aktivní chata","energie","ocekavany_prinos","Projekt předpokládá roční úsporu přibližně 11,5 t CO2; zdroj výslovně uvádí, že jde o předpoklad před vyhodnocením zkušebního provozu.","https://casopisturista.cz/vosecka-bouda-nekonecna-energie-v-krkonosich-vosecka-bouda-meni-dieselagregat-za-fotovoltaiku-s-bateriovym-ulozistem/","Vosecká bouda: Nekonečná energie v Krkonoších","Časopis Turista","2026-02-28","časopis KČT / partnerský projekt","tvrzení projektu / budoucí měření","B","","2026-07-22"
"FACT-0069","HUT-0014","neuvedeno","Rýchorská bouda","aktivní chata","výška","nadmorska_vyska","1000 m n. m.","https://www.krkonose.eu/rychorska-bouda","Rýchorská bouda","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
"FACT-0070","HUT-0014","neuvedeno","Rýchorská bouda","aktivní chata","kapacita","kapacita_luzek","45 lůžek.","https://www.krkonose.eu/rychorska-bouda","Rýchorská bouda","Krkonose.eu","neuvedeno","oficiální destinační web","stabilní","A","","2026-07-22"
