ID chaty,Název chaty,Země,Pohoří,Systém,Číslo / kód,Oficiální název,Detail URL,Stav,Typ shody,Jistota,Poznámka,Ověřeno k
HUT-0006,Brádlerovy boudy,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-2144,Brádlerovy boudy,https://cs.wander-book.com/bradlerovy-boudy-m862.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0006,Brádlerovy boudy,Česko,Krkonoše,Turistické známky,394,Brádlerovy boudy,https://www.turisticke-znamky.cz/znamky/bradlerovy-boudy-c394,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0007,Špindlerova bouda,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-2340,Špindlerova bouda,https://cs.wander-book.com/spindlerova-bouda-m1631.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0007,Špindlerova bouda,Česko,Krkonoše,Turistické známky,1889,"Špindlerova bouda, Krkonoše",https://www.turisticke-znamky.cz/znamky/spindlerova-bouda-krkonose-c1889,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0008,Erlebachova bouda,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-2933,Erlebachova bouda,https://cs.wander-book.com/erlebachova-bouda-m3917.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0009,Moravská bouda,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-2573,Moravská bouda,https://cs.wander-book.com/moravska-bouda-m5620.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0009,Moravská bouda,Česko,Krkonoše,Turistické známky,1873,Moravská Bouda - Krkonoše,https://www.turisticke-znamky.cz/znamky/moravska-bouda-krkonose-c1873,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0012,Dvoračky,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-409,Chata Dvoračky,https://cs.wander-book.com/chata-dvoracky-m216.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0014,Rýchorská bouda,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-458,Rýchorská bouda,https://cs.wander-book.com/rychorska-bouda-m859.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0014,Rýchorská bouda,Česko,Krkonoše,Turistické známky,390,Rýchorská bouda,https://www.turisticke-znamky.cz/znamky/rychorska-bouda-c390,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0015,Bouda Jelenka,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-410,Bouda Jelenka,https://cs.wander-book.com/bouda-jelenka-m1415.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0015,Bouda Jelenka,Česko,Krkonoše,Turistické známky,1367,Horská bouda Jelenka,https://www.turisticke-znamky.cz/znamky/horska-bouda-jelenka-c1367,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0016,Pomezní bouda,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-1208,Pomezní bouda,https://cs.wander-book.com/pomezni-bouda-m3094.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0016,Pomezní bouda,Česko,Krkonoše,Turistické známky,673,Pomezní boudy,https://www.turisticke-znamky.cz/znamky/pomezni-boudy-c673,vedeno v oficiálním seznamu,shoda objektu / lokality,B,Oficiální známka je vedena v množném čísle jako lokalita Pomezní boudy.,2026-07-22
HUT-0017,Portášky,Česko,Krkonoše,Turistické známky,675,Portášky,https://www.turisticke-znamky.cz/znamky/portasky-c675,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0018,Růžohorky,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-2246,Horská bouda Růžohorky,https://cs.wander-book.com/horska-bouda-ruzohorky-m672.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0018,Růžohorky,Česko,Krkonoše,Turistické známky,75,Růžohorky,https://www.turisticke-znamky.cz/znamky/ruzohorky-c75,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0019,Lesní bouda,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-1632,Lesní bouda,https://cs.wander-book.com/lesni-bouda-m2635.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0020,Lyžařská bouda,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-3522,Lyžařská bouda,https://cs.wander-book.com/lyzarska-bouda-m2637.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0021,Pražská bouda,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-5981,Pražská bouda,https://cs.wander-book.com/prazska-bouda-m9515.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0022,Kolínská bouda,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-2097,Kolínská bouda,https://cs.wander-book.com/kolinska-bouda-m2636.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0022,Kolínská bouda,Česko,Krkonoše,Turistické známky,1719,Kolínská bouda – Pec pod Sněžkou,https://www.turisticke-znamky.cz/znamky/kolinska-bouda-pec-pod-snezkou-c1719,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0025,Friesovy boudy,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-2529,Friesovy boudy,https://cs.wander-book.com/friesovy-boudy-m4552.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0027,Chalupa Na Rozcestí,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-2459,Chalupa Na Rozcestí,https://cs.wander-book.com/chalupa-na-rozcesti-m625.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0027,Chalupa Na Rozcestí,Česko,Krkonoše,Turistické známky,13,Chalupa Na Rozcestí,https://www.turisticke-znamky.cz/znamky/chalupa-na-rozcesti-c13,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0028,Richtrovy boudy,Česko,Krkonoše,Turistické vizitky / Wander Card,CZ-2524,Richtrovy boudy,https://cs.wander-book.com/richtrovy-boudy-m2770.htm,vyřazena z projektu v roce 2022,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0028,Richtrovy boudy,Česko,Krkonoše,Turistické známky,1602,Richtrovy boudy,https://www.turisticke-znamky.cz/znamky/richtrovy-boudy-c1602,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0030,Lysečinská bouda,Česko,Krkonoše,Turistické známky,1336,"Lysečinská bouda, Krkonoše",https://www.turisticke-znamky.cz/znamky/lysecinska-bouda-krkonose-c1336,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0031,Šámalova chata,Česko,Jizerské hory,Turistické vizitky / Wander Card,CZ-2,Šámalova chata,https://cs.wander-book.com/samalova-chata-m198.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0031,Šámalova chata,Česko,Jizerské hory,Turistické známky,38,Šámalova chata,https://www.turisticke-znamky.cz/znamky/samalova-chata-c38,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0032,Horská chata Smědava,Česko,Jizerské hory,Turistické vizitky / Wander Card,CZ-8,Smědava,https://cs.wander-book.com/smedava-m192.htm,aktivní v katalogu Wander Book,sdílená nebo lokalitní shoda,B,Vizitka je vedena názvem lokality/objektu Smědava.,2026-07-22
HUT-0032,Horská chata Smědava,Česko,Jizerské hory,Turistické známky,42,Smědava,https://www.turisticke-znamky.cz/znamky/smedava-c42,vedeno v oficiálním seznamu,shoda objektu / lokality,B,Známka je vedena názvem lokality Smědava; katalogový objekt nese název Horská chata Smědava.,2026-07-22
HUT-0033,Prezidentská chata,Česko,Jizerské hory,Turistické vizitky / Wander Card,CZ-95,Prezidentská chata,https://cs.wander-book.com/prezidentska-chata-m561.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0033,Prezidentská chata,Česko,Jizerské hory,Turistické známky,41,Prezidentská chata,https://www.turisticke-znamky.cz/znamky/prezidentska-chata-c41,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0034,Královka,Česko,Jizerské hory,Turistické vizitky / Wander Card,CZ-3068,Chata Královka,https://cs.wander-book.com/chata-kralovka-m7816.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0034,Královka,Česko,Jizerské hory,Turistické známky,36,Královka,https://www.turisticke-znamky.cz/znamky/kralovka-c36,vedeno v oficiálním seznamu,shoda objektu / lokality,B,"Známka reprezentuje areál Královka, jehož součástí je katalogový objekt.",2026-07-22
HUT-0035,Hřebínek,Česko,Jizerské hory,Turistické vizitky / Wander Card,CZ-102,Hřebínek,https://cs.wander-book.com/hrebinek-m151.htm,aktivní v katalogu Wander Book,sdílená nebo lokalitní shoda,B,Vizitka reprezentuje lokalitu a občerstvení Hřebínek.,2026-07-22
HUT-0036,Kiosek Knajpa,Česko,Jizerské hory,Turistické vizitky / Wander Card,CZ-22,Horská stanice Knajpa,https://cs.wander-book.com/horska-stanice-knajpa-m162.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0041,Hubertka,Česko,Jizerské hory,Turistické vizitky / Wander Card,CZ-1689,Chata Hubertka,https://cs.wander-book.com/chata-hubertka-m3525.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0042,Chata Pláně pod Ještědem,Česko,Ještědský hřbet,Turistické známky,39,Pláně pod Ještědem - Ještědský hřbet,https://www.turisticke-znamky.cz/znamky/plane-pod-jestedem-jestedsky-hrbet-c39,vedeno v oficiálním seznamu,shoda objektu / lokality,B,Známka je vedena jako lokalita Pláně pod Ještědem.,2026-07-22
HUT-0047,Masarykova chata na Šerlichu,Česko,Orlické hory,Turistické vizitky / Wander Card,CZ-83,Masarykova chata na Šerlichu,https://cs.wander-book.com/masarykova-chata-na-serlichu-m260.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0048,Chata Na Čiháku,Česko,Orlické hory,Turistické vizitky / Wander Card,CZ-3650,Chata Na Čiháku,https://cs.wander-book.com/chata-na-cihaku-m3851.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0052,Kramářova chata na Suchém vrchu,Česko,Bukovohorská hornatina,Turistické vizitky / Wander Card,CZ-2183,Kramářova chata,https://cs.wander-book.com/kramarova-chata-m3983.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0053,Chata Návrší,Česko,Králický Sněžník,Turistické vizitky / Wander Card,CZ-2343,Horská chata Návrší,https://cs.wander-book.com/horska-chata-navrsi-m1737.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0053,Chata Návrší,Česko,Králický Sněžník,Turistické známky,381,Návrší,https://www.turisticke-znamky.cz/znamky/navrsi-c381,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0054,Chata Slaměnka,Česko,Králický Sněžník,Turistické vizitky / Wander Card,CZ-3549,Chata Slaměnka,https://cs.wander-book.com/chata-slamenka-m11351.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0055,Horská chata Paprsek,Česko,Rychlebské hory,Turistické vizitky / Wander Card,CZ-2059,Horský hotel Paprsek,https://cs.wander-book.com/horsky-hotel-paprsek-m1736.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0055,Horská chata Paprsek,Česko,Rychlebské hory,Turistické známky,380,Paprsek,https://www.turisticke-znamky.cz/znamky/paprsek-c380,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0056,Chata Jiřího na Šeráku,Česko,Hrubý Jeseník,Turistické vizitky / Wander Card,CZ-871,Chata Jiřího na Šeráku,https://cs.wander-book.com/chata-jiriho-na-seraku-m1698.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0059,Švýcárna,Česko,Hrubý Jeseník,Turistické vizitky / Wander Card,CZ-647,Chata Švýcárna,https://cs.wander-book.com/chata-svycarna-m1754.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0059,Švýcárna,Česko,Hrubý Jeseník,Turistické známky,8,Švýcárna,https://www.turisticke-znamky.cz/znamky/svycarna-c8,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0060,Ovčárna,Česko,Hrubý Jeseník,Turistické vizitky / Wander Card,CZ-1326,Chata Ovčárna,https://cs.wander-book.com/chata-ovcarna-m1768.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0060,Ovčárna,Česko,Hrubý Jeseník,Turistické známky,2,Ovčárna,https://www.turisticke-znamky.cz/znamky/ovcarna-c2,vedeno v oficiálním seznamu,shoda objektu / lokality,B,Známka je vedena jako Ovčárna; shoda s horským hotelem/areálem.,2026-07-22
HUT-0065,Chata Sabinka,Česko,Hrubý Jeseník,Turistické vizitky / Wander Card,CZ-1601,Chata Sabinka,https://cs.wander-book.com/chata-sabinka-m3478.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0066,Červenohorské sedlo,Česko,Hrubý Jeseník,Turistické známky,5,Červenohorské sedlo,https://www.turisticke-znamky.cz/znamky/cervenohorske-sedlo-c5,vedeno v oficiálním seznamu,shoda objektu / lokality,B,Známka reprezentuje sedlo a horské středisko.,2026-07-22
HUT-0073,Bezručova chata na Lysé hoře,Česko,Moravskoslezské Beskydy,Turistické známky,2274,Bezručova chata,https://www.turisticke-znamky.cz/znamky/bezrucova-chata-c2274,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0075,Chata Prašivá,Česko,Moravskoslezské Beskydy,Turistické známky,48,Malá Prašivá,https://www.turisticke-znamky.cz/znamky/mala-prasiva-c48,vedeno v oficiálním seznamu,shoda objektu / lokality,B,Známka reprezentuje lokalitu Malá Prašivá včetně turistické chaty.,2026-07-22
HUT-0088,Libušín,Česko,Moravskoslezské Beskydy,Turistické vizitky / Wander Card,CZ-725,Pustevny – Maměnka a Libušín,https://cs.wander-book.com/pustevny-mamenka-a-libusin-m1389.htm,aktivní v katalogu Wander Book,sdílená nebo lokalitní shoda,B,Jedna společná vizitka pro oba Jurkovičovy objekty.,2026-07-22
HUT-0089,Maměnka,Česko,Moravskoslezské Beskydy,Turistické vizitky / Wander Card,CZ-725,Pustevny – Maměnka a Libušín,https://cs.wander-book.com/pustevny-mamenka-a-libusin-m1389.htm,aktivní v katalogu Wander Book,sdílená nebo lokalitní shoda,B,Jedna společná vizitka pro oba Jurkovičovy objekty.,2026-07-22
HUT-0091,Chata Martiňák,Česko,Moravskoslezské Beskydy,Turistické známky,46,Martiňák,https://www.turisticke-znamky.cz/znamky/martinak-c46,vedeno v oficiálním seznamu,shoda objektu / lokality,B,Známka je vedena zkráceným místním názvem Martiňák.,2026-07-22
HUT-0107,Turnerova chata,Česko,Šumava,Turistické vizitky / Wander Card,CZ-402,Turnerova chata,https://cs.wander-book.com/turnerova-chata-m210.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0125,Chata pod Rysmi,Slovensko,Vysoké Tatry,Turistické vizitky / Wander Card,SK-75,Chata pod Rysy,https://cs.wander-book.com/chata-pod-rysy-m4494.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0125,Chata pod Rysmi,Slovensko,Vysoké Tatry,Turistické známky,16,Chata pod Rysmi,https://www.turisticke-znamky.sk/znamky/detail/chata-pod-rysmi/16,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0126,Téryho chata,Slovensko,Vysoké Tatry,Turistické vizitky / Wander Card,SK-88,Téryho chata,https://cs.wander-book.com/teryho-chata-m4502.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0126,Téryho chata,Slovensko,Vysoké Tatry,Turistické známky,15,Téryho chata,https://www.turisticke-znamky.sk/znamky/detail/teryho-chata/15,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0127,Zbojnícka chata,Slovensko,Vysoké Tatry,Turistické vizitky / Wander Card,SK-85,Zbojnická chata,https://cs.wander-book.com/zbojnicka-chata-m4499.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0127,Zbojnícka chata,Slovensko,Vysoké Tatry,Turistické známky,1,Zbojnícka chata,https://www.turisticke-znamky.sk/znamky/detail/zbojnicka-chata/1,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0128,Chata pri Zelenom plese,Slovensko,Vysoké Tatry,Turistické vizitky / Wander Card,SK-86,Chata při Zeleném plese,https://cs.wander-book.com/chata-pri-zelenem-plese-m4493.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0128,Chata pri Zelenom plese,Slovensko,Vysoké Tatry,Turistické známky,9,Chata pri Zelenom plese,https://www.turisticke-znamky.sk/znamky/detail/chata-pri-zelenom-plese/9,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0129,Zamkovského chata,Slovensko,Vysoké Tatry,Turistické vizitky / Wander Card,SK-628,Zamkovského chata,https://cs.wander-book.com/zamkovskeho-chata-m5158.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0129,Zamkovského chata,Slovensko,Vysoké Tatry,Turistické známky,8,Zamkovského chata,https://www.turisticke-znamky.sk/znamky/detail/zamkovskeho-chata/8,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0130,Rainerova chata,Slovensko,Vysoké Tatry,Turistické vizitky / Wander Card,SK-79,Rainerova chata,https://cs.wander-book.com/rainerova-chata-m4506.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0130,Rainerova chata,Slovensko,Vysoké Tatry,Turistické známky,2,Rainerova chata,https://www.turisticke-znamky.sk/znamky/detail/rainerova-chata/2,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0131,Bilíkova chata,Slovensko,Vysoké Tatry,Turistické vizitky / Wander Card,SK-459,Bilíkova chata,https://cs.wander-book.com/bilikova-chata-m4654.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0131,Bilíkova chata,Slovensko,Vysoké Tatry,Turistické známky,3,Bilíkova chata,https://www.turisticke-znamky.sk/znamky/detail/bilikova-chata/3,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0132,Skalnatá chata,Slovensko,Vysoké Tatry,Turistické vizitky / Wander Card,SK-175,Skalnatá chata,https://cs.wander-book.com/skalnata-chata-m5025.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0132,Skalnatá chata,Slovensko,Vysoké Tatry,Turistické známky,6,Skalnatá chata,https://www.turisticke-znamky.sk/znamky/detail/skalnata-chata/6,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0133,Chata Plesnivec,Slovensko,Vysoké Tatry,Turistické vizitky / Wander Card,SK-626,Chata Plesnivec,https://cs.wander-book.com/chata-plesnivec-m4759.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0133,Chata Plesnivec,Slovensko,Vysoké Tatry,Turistické známky,293,Chata Plesnivec,https://www.turisticke-znamky.sk/znamky/detail/chata-plesnivec/293,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0134,Chata pod Soliskom,Slovensko,Vysoké Tatry,Turistické vizitky / Wander Card,SK-43,Chata pod Soliskom,https://cs.wander-book.com/chata-pod-soliskom-m4350.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0134,Chata pod Soliskom,Slovensko,Vysoké Tatry,Turistické známky,14,Chata pod Soliskom,https://www.turisticke-znamky.sk/znamky/detail/chata-pod-soliskom/14,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0135,Majláthova chata,Slovensko,Vysoké Tatry,Turistické známky,538,Vysoké Tatry - Majláthova chata,https://www.turisticke-znamky.sk/znamky/detail/vysoke-tatry-majlathova-chata/538,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0136,Horský hotel Popradské pleso,Slovensko,Vysoké Tatry,Turistické známky,7,Chata pri Popradskom plese,https://www.turisticke-znamky.sk/znamky/detail/chata-pri-popradskom-plese/7,vedeno v oficiálním seznamu,shoda objektu / lokality,B,Oficiální název známky se mírně liší od názvu objektu v katalogu.,2026-07-22
HUT-0137,Sliezsky dom,Slovensko,Vysoké Tatry,Turistické vizitky / Wander Card,SK-31,Sliezsky dom,https://cs.wander-book.com/sliezsky-dom-m4275.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0137,Sliezsky dom,Slovensko,Vysoké Tatry,Turistické známky,10,Horský hotel Sliezsky dom - Vysoké Tatry,https://www.turisticke-znamky.sk/znamky/detail/horsky-hotel-sliezsky-dom-vysoke-tatry/10,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0139,Žiarska chata,Slovensko,Západní Tatry,Turistické vizitky / Wander Card,SK-1012,Žiarska chata,https://cs.wander-book.com/ziarska-chata-m5175.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0139,Žiarska chata,Slovensko,Západní Tatry,Turistické známky,23,Žiarska chata,https://www.turisticke-znamky.sk/znamky/detail/ziarska-chata/23,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0140,Ťatliakova chata,Slovensko,Západní Tatry,Turistické známky,642,Ťatliakova chata,https://www.turisticke-znamky.sk/znamky/detail/tatliakova-chata/642,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0141,Chata Zverovka,Slovensko,Západní Tatry,Turistické známky,21,Chata Zverovka,https://www.turisticke-znamky.sk/znamky/detail/chata-zverovka/21,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0145,Chata M. R. Štefánika,Slovensko,Nízké Tatry,Turistické vizitky / Wander Card,SK-76,Chata M. R. Štefánika pod Ďumbierem,https://cs.wander-book.com/chata-m-r-stefanika-pod-dumbierem-m4490.htm,aktivní v katalogu Wander Book,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0145,Chata M. R. Štefánika,Slovensko,Nízké Tatry,Turistické známky,67,Chata M. R. Štefánika pod Ďumbierom,https://www.turisticke-znamky.sk/znamky/detail/chata-m-r-stefanika-pod-dumbierom/67,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0146,Kamenná chata pod Chopkom,Slovensko,Nízké Tatry,Turistické známky,68,Kamenná chata pod Chopkom,https://www.turisticke-znamky.sk/znamky/detail/kamenna-chata-pod-chopkom/68,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0147,Hotel Kosodrevina,Slovensko,Nízké Tatry,Turistické známky,65,"Chopok - juh, chata Kosodrevina",https://www.turisticke-znamky.sk/znamky/detail/chopok-juh-chata-kosodrevina/65,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0148,Chata Trangoška,Slovensko,Nízké Tatry,Turistické známky,64,Chata Trangoška - Nízke Tatry,https://www.turisticke-znamky.sk/znamky/detail/chata-trangoska-nizke-tatry/64,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
HUT-0149,Chata Magurka,Slovensko,Nízké Tatry,Turistické známky,794,Chata Magurka,https://www.turisticke-znamky.sk/znamky/detail/chata-magurka/794,vedeno v oficiálním seznamu,přímá shoda objektu,A,neuvedeno,2026-07-22
