ID chaty,Chata,Země,Pohoří,Nejbližší obec / uzel,Pořadí,Výchozí bod,Typ výchozího bodu,Doprava / návaznost,Sezóna / omezení,Jistota,Zdrojové URL,Poznámka,Ověřeno k
HUT-0017,Portášky,Česko,Krkonoše,Pec pod Sněžkou,1,"Velká Úpa, dolní stanice lanovky Portášky",dolní stanice lanovky + autobus + parkoviště,sedačková lanovka Portášky,lanovka je sezónní; pěší přístup celoročně podle podmínek,A,"https://leto.skiresort.cz/lanovky/portasky/
https://www.portasky.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0017,Portášky,Česko,Krkonoše,Pec pod Sněžkou,2,"Portášky, horní stanice lanovky",horní stanice lanovky,,lanovka je sezónní; pěší přístup celoročně podle podmínek,A,"https://leto.skiresort.cz/lanovky/portasky/
https://www.portasky.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0018,Růžohorky,Česko,Krkonoše,Pec pod Sněžkou,1,"Pec pod Sněžkou, dolní stanice lanovky na Sněžku",dolní stanice lanovky + autobus + parkoviště,kabinková lanovka na Růžovou horu,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.ruzohorky.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0018,Růžohorky,Česko,Krkonoše,Pec pod Sněžkou,2,"Růžová hora, mezistanice lanovky",mezistanice lanovky,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.ruzohorky.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0018,Růžohorky,Česko,Krkonoše,Pec pod Sněžkou,3,"Velká Úpa, centrum",horská obec + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.ruzohorky.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0019,Lesní bouda,Česko,Krkonoše,Pec pod Sněžkou,1,"Pec pod Sněžkou, centrum / autobusové nádraží",horské středisko + autobus + parkoviště,linkový autobus,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.lesnibouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0019,Lesní bouda,Česko,Krkonoše,Pec pod Sněžkou,2,"Janské Lázně, horní stanice kabinkové lanovky Černohorský Express",horní stanice lanovky,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.lesnibouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0019,Lesní bouda,Česko,Krkonoše,Pec pod Sněžkou,3,"Černý Důl, centrum",horská obec + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.lesnibouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0020,Lyžařská bouda,Česko,Krkonoše,Pec pod Sněžkou,1,"Pec pod Sněžkou, centrum / autobusové nádraží",horské středisko + autobus + parkoviště,linkový autobus,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.lyzarskabouda.com/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0020,Lyžařská bouda,Česko,Krkonoše,Pec pod Sněžkou,2,"Janské Lázně, horní stanice kabinkové lanovky Černohorský Express",horní stanice lanovky,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.lyzarskabouda.com/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0020,Lyžařská bouda,Česko,Krkonoše,Pec pod Sněžkou,3,"Černý Důl, centrum",horská obec + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.lyzarskabouda.com/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0021,Pražská bouda,Česko,Krkonoše,Pec pod Sněžkou,1,"Pec pod Sněžkou, centrum / autobusové nádraží",horské středisko + autobus + parkoviště,linkový autobus,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.prazskabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0021,Pražská bouda,Česko,Krkonoše,Pec pod Sněžkou,2,"Janské Lázně, horní stanice kabinkové lanovky Černohorský Express",horní stanice lanovky,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.prazskabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0021,Pražská bouda,Česko,Krkonoše,Pec pod Sněžkou,3,"Černý Důl, centrum",horská obec + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.prazskabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0022,Kolínská bouda,Česko,Krkonoše,Pec pod Sněžkou,1,"Pec pod Sněžkou, centrum / autobusové nádraží",horské středisko + autobus + parkoviště,linkový autobus,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.kolinskabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0022,Kolínská bouda,Česko,Krkonoše,Pec pod Sněžkou,2,"Janské Lázně, horní stanice kabinkové lanovky Černohorský Express",horní stanice lanovky,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.kolinskabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0022,Kolínská bouda,Česko,Krkonoše,Pec pod Sněžkou,3,"Černý Důl, centrum",horská obec + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.kolinskabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0023,Černá bouda,Česko,Krkonoše,Janské Lázně,1,"Černá hora, horní stanice kabinkové lanovky Černohorský Express",horní stanice lanovky,kabinková lanovka z Janských Lázní,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.cernabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0023,Černá bouda,Česko,Krkonoše,Janské Lázně,2,"Janské Lázně, dolní stanice lanovky",lázeňské středisko + autobus + parkoviště,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.cernabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0024,Hrnčířské boudy,Česko,Krkonoše,Pec pod Sněžkou,1,"Pec pod Sněžkou, centrum / autobusové nádraží",horské středisko + autobus + parkoviště,linkový autobus,celoročně; vždy ověřit aktuální stav cest a dopravy,B,https://www.krkonose.eu/vylety,,2026-07-21
HUT-0024,Hrnčířské boudy,Česko,Krkonoše,Pec pod Sněžkou,2,"Janské Lázně, horní stanice kabinkové lanovky Černohorský Express",horní stanice lanovky,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,https://www.krkonose.eu/vylety,,2026-07-21
HUT-0024,Hrnčířské boudy,Česko,Krkonoše,Pec pod Sněžkou,3,"Černý Důl, centrum",horská obec + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,https://www.krkonose.eu/vylety,,2026-07-21
HUT-0025,Friesovy boudy,Česko,Krkonoše,Strážné,1,"Strážné, lom / horní parkoviště",parkoviště na okraji horské obce,autobus do Strážného,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.friesovyboudy.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0025,Friesovy boudy,Česko,Krkonoše,Strážné,2,"Dolní Dvůr, centrum",horská obec + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.friesovyboudy.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0026,Klínovka,Česko,Krkonoše,Špindlerův Mlýn,1,"Špindlerův Mlýn, Svatý Petr",horské středisko + autobus + parkoviště,místní autobus / skibus,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.klinovka.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0026,Klínovka,Česko,Krkonoše,Špindlerův Mlýn,2,"Strážné, centrum",horská obec + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.klinovka.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0027,Chalupa Na Rozcestí,Česko,Krkonoše,Pec pod Sněžkou,1,"Pec pod Sněžkou, autobusové nádraží / parkoviště P1",horské středisko + autobus + parkoviště,linkový autobus,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.chalupanarozcesti.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0027,Chalupa Na Rozcestí,Česko,Krkonoše,Pec pod Sněžkou,2,"Strážné, centrum",horská obec + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.chalupanarozcesti.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0027,Chalupa Na Rozcestí,Česko,Krkonoše,Pec pod Sněžkou,3,"Janské Lázně, horní stanice Černohorského Expressu",horní stanice lanovky,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.chalupanarozcesti.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0028,Richtrovy boudy,Česko,Krkonoše,Pec pod Sněžkou,1,"Pec pod Sněžkou, autobusové nádraží / parkoviště P1",horské středisko + autobus + parkoviště,linkový autobus,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.krkonose.eu/pres-modry-dul-na-vyrovku
https://www.richtrovyboudy.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0029,Chata Pod Studničnou,Česko,Krkonoše,Pec pod Sněžkou,1,"Pec pod Sněžkou, centrum / autobusové nádraží",horské středisko + autobus + parkoviště,linkový autobus,celoročně; vždy ověřit aktuální stav cest a dopravy,A,https://www.krkonose.eu/vylety,,2026-07-21
HUT-0030,Lysečinská bouda,Česko,Krkonoše,Horní Maršov,1,"Horní Maršov, Horní Albeřice",horská obec + autobus + parkoviště,regionální autobus,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.lysecinskabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0030,Lysečinská bouda,Česko,Krkonoše,Horní Maršov,2,"Pomezní Boudy, autobusová zastávka",hřebenové středisko + autobus,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,"https://www.lysecinskabouda.cz/
https://www.krkonose.eu/vylety",,2026-07-21
HUT-0031,Šámalova chata,Česko,Jizerské hory,Bedřichov,1,"Bedřichov, stadion",hlavní turistická autobusová zastávka + parkoviště,MHD / regionální autobus; v sezóně turistické linky,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.jizerky.cz/doprava
https://www.samalova-chata.cz/",,2026-07-21
HUT-0031,Šámalova chata,Česko,Jizerské hory,Bedřichov,2,"Bedřichov, Maliník",autobusová zastávka + parkoviště,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.jizerky.cz/doprava
https://www.samalova-chata.cz/",,2026-07-21
HUT-0032,Horská chata Smědava,Česko,Jizerské hory,Bílý Potok,1,"Smědava, autobusová zastávka / parkoviště",horská autobusová zastávka + parkoviště,celoroční linka z Hejnic; sezónní posily,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.jizerky.cz/aktuality/jizerky-v-lete-sezonni-linky-vas-vyvezou-za-zazitky-i-s-kolem
https://www.smedava.com/
https://www.jizerky.cz/doprava",,2026-07-21
HUT-0032,Horská chata Smědava,Česko,Jizerské hory,Bílý Potok,2,"Bílý Potok pod Smrkem, železniční stanice",vlak + pěší nástup,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.jizerky.cz/aktuality/jizerky-v-lete-sezonni-linky-vas-vyvezou-za-zazitky-i-s-kolem
https://www.smedava.com/
https://www.jizerky.cz/doprava",,2026-07-21
HUT-0033,Prezidentská chata,Česko,Jizerské hory,Bedřichov,1,"Bedřichov, stadion",hlavní turistická autobusová zastávka + parkoviště,MHD / regionální autobus; v sezóně turistické linky,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.jizerky.cz/doprava
https://www.prezidentska.cz/",,2026-07-21
HUT-0033,Prezidentská chata,Česko,Jizerské hory,Bedřichov,2,"Bedřichov, Maliník",autobusová zastávka + parkoviště,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.jizerky.cz/doprava
https://www.prezidentska.cz/",,2026-07-21
HUT-0034,Královka,Česko,Jizerské hory,Janov nad Nisou,1,"Janov nad Nisou, Hrabětice / Královka",horská autobusová zastávka + parkoviště,regionální autobus,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.kralovka.cz/
https://www.jizerky.cz/doprava",,2026-07-21
HUT-0034,Královka,Česko,Jizerské hory,Janov nad Nisou,2,"Bedřichov, stadion",hlavní turistická autobusová zastávka + parkoviště,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.kralovka.cz/
https://www.jizerky.cz/doprava",,2026-07-21
HUT-0035,Hřebínek,Česko,Jizerské hory,Bedřichov,1,"Bedřichov, stadion",hlavní turistická autobusová zastávka + parkoviště,MHD / regionální autobus; v sezóně turistické linky,celoročně; vždy ověřit aktuální stav cest a dopravy,A,https://www.jizerky.cz/doprava,,2026-07-21
HUT-0035,Hřebínek,Česko,Jizerské hory,Bedřichov,2,"Bedřichov, Maliník",autobusová zastávka + parkoviště,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,https://www.jizerky.cz/doprava,,2026-07-21
HUT-0036,Kiosek Knajpa,Česko,Jizerské hory,Hejnice,1,"Smědava, autobusová zastávka / parkoviště",horská autobusová zastávka + parkoviště,autobus z Hejnic,celoročně; vždy ověřit aktuální stav cest a dopravy,B,https://www.jizerky.cz/doprava,,2026-07-21
HUT-0036,Kiosek Knajpa,Česko,Jizerské hory,Hejnice,2,"Bedřichov, stadion",hlavní turistická autobusová zastávka + parkoviště,,celoročně; vždy ověřit aktuální stav cest a dopravy,B,https://www.jizerky.cz/doprava,,2026-07-21
HUT-0037,Pyramida Jizerka,Česko,Jizerské hory,Kořenov,1,"Jizerka, Mořina – autobusová zastávka / parkoviště",horská osada + sezónní autobus + parkoviště,sezónní turistické autobusy,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.pyramida-jizerka.cz/
https://www.jizerky.cz/doprava",,2026-07-21
HUT-0037,Pyramida Jizerka,Česko,Jizerské hory,Kořenov,2,"Kořenov, železniční stanice",vlak + obec,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.pyramida-jizerka.cz/
https://www.jizerky.cz/doprava",,2026-07-21
HUT-0037,Pyramida Jizerka,Česko,Jizerské hory,Kořenov,3,"Jakuszyce, Polana Jakuszycka",vlak + přeshraniční turistický uzel,,celoročně; vždy ověřit aktuální stav cest a dopravy,A,"https://www.pyramida-jizerka.cz/
https://www.jizerky.cz/doprava",,2026-07-21
